,natural_language,parsed_utterance
7272,show me all the data where indoor temperature of 15.25,filter indoor_temperature equal to 15.25 and show [e]
7273,show me all the data where outdoor temperature of 21.82399577,filter outdoor_temperature equal to 21.82399577 and show [e]
7274,show me all the data where indoor temperature above 15.25,filter indoor_temperature greater than 15.25 and show [e]
7275,show me all the data where past electricity is not less than 1929.025,filter past_electricity greater equal than 1929.025 and show [e]
7276,show me all the data where indoor temperature warmer than 13.25 and past electricity yocolderunger than 1929.025,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and show [e]
7277,show me all the data where outdoor temperature of 21.5,filter outdoor_temperature equal to 21.5 and show [e]
7278,show me all the data where indoor temperature above 13.25,filter indoor_temperature greater than 13.25 and show [e]
7279,show me all the data where outdoor temperature exceeds 21.82399577,filter outdoor_temperature greater than 21.82399577 and show [e]
7280,show me all the data where past electricity of 1929.025,filter past_electricity equal to 1929.025 and show [e]
7281,show me all the data where indoor temperature upper than 15.25,filter indoor_temperature greater than 15.25 and show [e]
7282,show me all the data where past electricity more than 640.4,filter past_electricity greater than 640.4 and show [e]
7283,show me all the data where outdoor temperature is equal to but not greater than 21.82399577,filter outdoor_temperature less equal than 21.82399577 and show [e]
7284,show me all the data where outdoor temperature equal to or below 21.82399577,filter outdoor_temperature less equal than 21.82399577 and show [e]
7285,show me all the data where outdoor temperature is not less than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and show [e]
7286,show me all the data where past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.5,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and show [e]
7287,show me all the data where indoor temperature upper than 13.25,filter indoor_temperature greater than 13.25 and show [e]
7288,show me all the data where past electricity exceeds 1929.025,filter past_electricity greater than 1929.025 and show [e]
7289,show me all the data where outdoor temperature exceeds 21.5,filter outdoor_temperature greater than 21.5 and show [e]
7290,show me all the data where outdoor temperature upper than 21.5,filter outdoor_temperature greater than 21.5 and show [e]
7291,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase outdoor temperature by 21.82399577?,filter indoor_temperature less than 15.25 and change outdoor_temperature increase 21.82399577 and predict [e]
7292,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase indoor temperature by 13.25?,filter outdoor_temperature less than 21.5 and change indoor_temperature increase 13.25 and predict [e]
7293,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase outdoor temperature by 21.82399577?,filter past_electricity less than 640.4 and change outdoor_temperature increase 21.82399577 and predict [e]
7294,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase past electricity by 640.4?,filter outdoor_temperature less than 21.5 and change past_electricity increase 640.4 and predict [e]
7295,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase past electricity by 1929.025?,filter outdoor_temperature less than 21.5 and change past_electricity increase 1929.025 and predict [e]
7296,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase outdoor temperature by 21.5?,filter past_electricity less than 640.4 and change outdoor_temperature increase 21.5 and predict [e]
7297,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase indoor temperature by 15.25?,filter outdoor_temperature less than 21.82399577 and change indoor_temperature increase 15.25 and predict [e]
7298,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase indoor temperature by 13.25?,filter outdoor_temperature less than 21.82399577 and change indoor_temperature increase 13.25 and predict [e]
7299,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase past electricity by 640.4?,filter outdoor_temperature less than 21.82399577 and change past_electricity increase 640.4 and predict [e]
7300,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase indoor temperature by 15.25?,filter past_electricity less than 1929.025 and change indoor_temperature increase 15.25 and predict [e]
7301,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase outdoor temperature by 21.5?,filter past_electricity less than 1929.025 and change outdoor_temperature increase 21.5 and predict [e]
7302,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase indoor temperature by 15.25?,filter past_electricity less than 640.4 and change indoor_temperature increase 15.25 and predict [e]
7303,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase past electricity by 640.4?,filter indoor_temperature less than 13.25 and change past_electricity increase 640.4 and predict [e]
7304,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase past electricity by 1929.025?,filter outdoor_temperature less than 21.82399577 and change past_electricity increase 1929.025 and predict [e]
7305,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase outdoor temperature by 21.82399577?,filter past_electricity less than 1929.025 and change outdoor_temperature increase 21.82399577 and predict [e]
7306,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase past electricity by 1929.025?,filter indoor_temperature less than 15.25 and change past_electricity increase 1929.025 and predict [e]
7307,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase past electricity by 1929.025?,filter indoor_temperature less than 13.25 and change past_electricity increase 1929.025 and predict [e]
7308,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase outdoor temperature by 21.5?,filter indoor_temperature less than 15.25 and change outdoor_temperature increase 21.5 and predict [e]
7309,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase past electricity by 640.4?,filter indoor_temperature less than 15.25 and change past_electricity increase 640.4 and predict [e]
7310,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase indoor temperature by 13.25?,filter past_electricity less than 640.4 and change indoor_temperature increase 13.25 and predict [e]
7311,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase outdoor temperature by 21.5?,filter indoor_temperature less than 13.25 and change outdoor_temperature increase 21.5 and predict [e]
7312,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase indoor temperature by 15.25?,filter outdoor_temperature less than 21.5 and change indoor_temperature increase 15.25 and predict [e]
7313,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase indoor temperature by 13.25?,filter past_electricity less than 1929.025 and change indoor_temperature increase 13.25 and predict [e]
7314,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase outdoor temperature by 21.82399577?,filter indoor_temperature less than 13.25 and change outdoor_temperature increase 21.82399577 and predict [e]
7315,how do you decide whether someone is {class_names},explain features [e]
7316,return the data where outdoor temperature warmer than 21.5 people,filter outdoor_temperature greater than 21.5 and show [e]
7317,return the data where indoor temperature is not greater than 13.25 people,filter indoor_temperature less equal than 13.25 and show [e]
7318,return the data where past electricity of 1929.025 people,filter past_electricity equal to 1929.025 and show [e]
7319,return the data where indoor temperature equal to or below 15.25 people,filter indoor_temperature less equal than 15.25 and show [e]
7320,return the data where past electricity the same or more than 1929.025 people,filter past_electricity greater equal than 1929.025 and show [e]
7321,return the data where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 640.4 people,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and show [e]
7322,return the data where outdoor temperature less than 21.5 people,filter outdoor_temperature less than 21.5 and show [e]
7323,return the data where outdoor temperature is not less than 21.82399577 people,filter outdoor_temperature greater equal than 21.82399577 and show [e]
7324,return the data where past electricity warmer than 640.4 people,filter past_electricity greater than 640.4 and show [e]
7325,return the data where data points 89 and 90 people,filter id 89 and filter id 90 and show [e]
7326,return the data where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577 people,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and show [e]
7327,return the data where past electricity is not greater than 1929.025 people,filter past_electricity less equal than 1929.025 and show [e]
7328,return the data where outdoor temperature exceeds 21.5 people,filter outdoor_temperature greater than 21.5 and show [e]
7329,return the data where past electricity equal to or below 640.4 people,filter past_electricity less equal than 640.4 and show [e]
7330,return the data where outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 15.25 people,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and show [e]
7331,return the data where indoor temperature more than 13.25 people,filter indoor_temperature greater than 13.25 and show [e]
7332,return the data where past electricity equal to or below 1929.025 people,filter past_electricity less equal than 1929.025 and show [e]
7333,return the data where past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.5 people,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and show [e]
7334,return the data where past electricity exceeds 640.4 people,filter past_electricity greater than 640.4 and show [e]
7335,return the data where indoor temperature is not less than 15.25 people,filter indoor_temperature greater equal than 15.25 and show [e]
7336,return the data where id 61 people,filter id 61 and show [e]
7337,return the data where everything but not past electricity of 640.4 people,filter past_electricity not equal to 640.4 and show [e]
7338,return the data where indoor temperature warmer than 15.25 people,filter indoor_temperature greater than 15.25 and show [e]
7339,return the data where past electricity the same or more than 640.4 people,filter past_electricity greater equal than 640.4 and show [e]
7340,return the data where indoor temperature warmer than 13.25 people,filter indoor_temperature greater than 13.25 and show [e]
7341,return the data where indoor temperature warmer than 15.25 and past electricity yocolderunger than 1929.025 people,filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and show [e]
7342,return the data where indoor temperature of 13.25 people,filter indoor_temperature equal to 13.25 and show [e]
7343,return the data where past electricity less than 640.4 people,filter past_electricity less than 640.4 and show [e]
7344,return the data where past electricity is equal to but not greater than 640.4 people,filter past_electricity less equal than 640.4 and show [e]
7345,return the data where indoor temperature colder than 13.25 people,filter indoor_temperature less than 13.25 and show [e]
7346,return the data where past electricity not equal to 640.4 people,filter past_electricity not equal to 640.4 and show [e]
7347,return the data where outdoor temperature more than 21.5 people,filter outdoor_temperature greater than 21.5 and show [e]
7348,return the data where past electricity of 640.4 people,filter past_electricity equal to 640.4 and show [e]
7349,return the data where indoor temperature is equal to but not greater than 15.25 people,filter indoor_temperature less equal than 15.25 and show [e]
7350,return the data where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 1929.025 people,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and show [e]
7351,return the data where everything but not indoor temperature of 13.25 people,filter indoor_temperature not equal to 13.25 and show [e]
7352,return the data where past electricity upper than 1929.025 people,filter past_electricity greater than 1929.025 and show [e]
7353,return the data where indoor temperature upper than 13.25 people,filter indoor_temperature greater than 13.25 and show [e]
7354,return the data where outdoor temperature the same or more than 21.5 people,filter outdoor_temperature greater equal than 21.5 and show [e]
7355,return the data where indoor temperature equal to or below 13.25 people,filter indoor_temperature less equal than 13.25 and show [e]
7356,return the data where past electricity warmer than 1929.025 and indoor temperature yocolderunger than 13.25 people,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and show [e]
7357,return the data where indoor temperature more than 15.25 people,filter indoor_temperature greater than 15.25 and show [e]
7358,return the data where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.82399577 people,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and show [e]
7359,return the data where past electricity more than 640.4 people,filter past_electricity greater than 640.4 and show [e]
7360,return the data where indoor temperature not equal to 13.25 people,filter indoor_temperature not equal to 13.25 and show [e]
7361,return the data where indoor temperature exceeds 15.25 people,filter indoor_temperature greater than 15.25 and show [e]
7362,return the data where indoor temperature is not greater than 15.25 people,filter indoor_temperature less equal than 15.25 and show [e]
7363,return the data where outdoor temperature is equal to but not greater than 21.5 people,filter outdoor_temperature less equal than 21.5 and show [e]
7364,return the data where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.82399577 people,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and show [e]
7365,return the data where outdoor temperature exceeds 21.82399577 people,filter outdoor_temperature greater than 21.82399577 and show [e]
7366,return the data where outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 13.25 people,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and show [e]
7367,return the data where outdoor temperature upper than 21.82399577 people,filter outdoor_temperature greater than 21.82399577 and show [e]
7368,return the data where past electricity colder than 640.4 people,filter past_electricity less than 640.4 and show [e]
7369,return the data where everything but not outdoor temperature of 21.82399577 people,filter outdoor_temperature not equal to 21.82399577 and show [e]
7370,return the data where outdoor temperature of 21.5 people,filter outdoor_temperature equal to 21.5 and show [e]
7371,return the data where past electricity is equal to but not greater than 1929.025 people,filter past_electricity less equal than 1929.025 and show [e]
7372,return the data where outdoor temperature equal to or below 21.5 people,filter outdoor_temperature less equal than 21.5 and show [e]
7373,return the data where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.5 people,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and show [e]
7374,return the data where past electricity more than 1929.025 people,filter past_electricity greater than 1929.025 and show [e]
7375,return the data where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.5 people,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and show [e]
7376,return the data where outdoor temperature warmer than 21.82399577 people,filter outdoor_temperature greater than 21.82399577 and show [e]
7377,return the data where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 1929.025 people,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and show [e]
7378,return the data where outdoor temperature is equal to but not greater than 21.82399577 people,filter outdoor_temperature less equal than 21.82399577 and show [e]
7379,return the data where past electricity not equal to 1929.025 people,filter past_electricity not equal to 1929.025 and show [e]
7380,return the data where outdoor temperature not equal to 21.5 people,filter outdoor_temperature not equal to 21.5 and show [e]
7381,return the data where indoor temperature upper than 15.25 people,filter indoor_temperature greater than 15.25 and show [e]
7382,return the data where outdoor temperature not equal to 21.82399577 people,filter outdoor_temperature not equal to 21.82399577 and show [e]
7383,return the data where past electricity exceeds 1929.025 people,filter past_electricity greater than 1929.025 and show [e]
7384,return the data where indoor temperature warmer than 13.25 and past electricity yocolderunger than 1929.025 people,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and show [e]
7385,return the data where everything but not past electricity of 1929.025 people,filter past_electricity not equal to 1929.025 and show [e]
7386,return the data where indoor temperature is equal to but not greater than 13.25 people,filter indoor_temperature less equal than 13.25 and show [e]
7387,return the data where past electricity upper than 640.4 people,filter past_electricity greater than 640.4 and show [e]
7388,return the data where everything but not outdoor temperature of 21.5 people,filter outdoor_temperature not equal to 21.5 and show [e]
7389,return the data where past electricity warmer than 1929.025 and outdoor temperature yocolderunger than 21.82399577 people,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and show [e]
7390,return the data where past electricity above 640.4 people,filter past_electricity greater than 640.4 and show [e]
7391,return the data where outdoor temperature less than 21.82399577 people,filter outdoor_temperature less than 21.82399577 and show [e]
7392,return the data where past electricity warmer than 1929.025 and indoor temperature yocolderunger than 15.25 people,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and show [e]
7393,return the data where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.5 people,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and show [e]
7394,return the data where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 15.25 people,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and show [e]
7395,return the data where outdoor temperature colder than 21.82399577 people,filter outdoor_temperature less than 21.82399577 and show [e]
7396,return the data where past electricity colder than 1929.025 people,filter past_electricity less than 1929.025 and show [e]
7397,return the data where outdoor temperature is not greater than 21.5 people,filter outdoor_temperature less equal than 21.5 and show [e]
7398,return the data where outdoor temperature above 21.82399577 people,filter outdoor_temperature greater than 21.82399577 and show [e]
7399,return the data where outdoor temperature is not less than 21.5 people,filter outdoor_temperature greater equal than 21.5 and show [e]
7400,return the data where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 13.25 people,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and show [e]
7401,return the data where past electricity above 1929.025 people,filter past_electricity greater than 1929.025 and show [e]
7402,return the data where indoor temperature warmer than 15.25 and past electricity yocolderunger than 640.4 people,filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and show [e]
7403,return the data where past electricity is not less than 1929.025 people,filter past_electricity greater equal than 1929.025 and show [e]
7404,return the data where id 78 people,filter id 78 and show [e]
7405,return the data where indoor temperature colder than 15.25 people,filter indoor_temperature less than 15.25 and show [e]
7406,return the data where indoor temperature of 15.25 people,filter indoor_temperature equal to 15.25 and show [e]
7407,return the data where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 640.4 people,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and show [e]
7408,return the data where indoor temperature exceeds 13.25 people,filter indoor_temperature greater than 13.25 and show [e]
7409,return the data where outdoor temperature above 21.5 people,filter outdoor_temperature greater than 21.5 and show [e]
7410,return the data where outdoor temperature the same or more than 21.82399577 people,filter outdoor_temperature greater equal than 21.82399577 and show [e]
7411,return the data where indoor temperature less than 13.25 people,filter indoor_temperature less than 13.25 and show [e]
7412,return the data where indoor temperature above 15.25 people,filter indoor_temperature greater than 15.25 and show [e]
7413,return the data where outdoor temperature equal to or below 21.82399577 people,filter outdoor_temperature less equal than 21.82399577 and show [e]
7414,return the data where outdoor temperature more than 21.82399577 people,filter outdoor_temperature greater than 21.82399577 and show [e]
7415,return the data where outdoor temperature colder than 21.5 people,filter outdoor_temperature less than 21.5 and show [e]
7416,return the data where past electricity is not greater than 640.4 people,filter past_electricity less equal than 640.4 and show [e]
7417,return the data where indoor temperature the same or more than 15.25 people,filter indoor_temperature greater equal than 15.25 and show [e]
7418,return the data where past electricity warmer than 640.4 and indoor temperature yocolderunger than 13.25 people,filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and show [e]
7419,return the data where past electricity warmer than 640.4 and indoor temperature yocolderunger than 15.25 people,filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and show [e]
7420,return the data where indoor temperature less than 15.25 people,filter indoor_temperature less than 15.25 and show [e]
7421,return the data where outdoor temperature is not greater than 21.82399577 people,filter outdoor_temperature less equal than 21.82399577 and show [e]
7422,return the data where indoor temperature warmer than 13.25 and past electricity yocolderunger than 640.4 people,filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and show [e]
7423,return the data where indoor temperature not equal to 15.25 people,filter indoor_temperature not equal to 15.25 and show [e]
7424,return the data where indoor temperature is not less than 13.25 people,filter indoor_temperature greater equal than 13.25 and show [e]
7425,return the data where past electricity less than 1929.025 people,filter past_electricity less than 1929.025 and show [e]
7426,return the data where indoor temperature the same or more than 13.25 people,filter indoor_temperature greater equal than 13.25 and show [e]
7427,return the data where indoor temperature above 13.25 people,filter indoor_temperature greater than 13.25 and show [e]
7428,return the data where past electricity is not less than 640.4 people,filter past_electricity greater equal than 640.4 and show [e]
7429,return the data where outdoor temperature upper than 21.5 people,filter outdoor_temperature greater than 21.5 and show [e]
7430,return the data where everything but not indoor temperature of 15.25 people,filter indoor_temperature not equal to 15.25 and show [e]
7431,return the data where past electricity warmer than 1929.025 people,filter past_electricity greater than 1929.025 and show [e]
7432,return the data where outdoor temperature of 21.82399577 people,filter outdoor_temperature equal to 21.82399577 and show [e]
7433,what is the probability for instance with id 34 if indoor temperature is decreased by 13.25,filter id 34 and change indoor_temperature decrease 13.25 and likelihood [e]
7434,what is the probability for instance with id 34 if outdoor temperature is decreased by 21.5,filter id 34 and change outdoor_temperature decrease 21.5 and likelihood [e]
7435,what is the probability for instance with id 34 if past electricity is decreased by 1929.025,filter id 34 and change past_electricity decrease 1929.025 and likelihood [e]
7436,what is the probability for instance with id 34 if past electricity is decreased by 640.4,filter id 34 and change past_electricity decrease 640.4 and likelihood [e]
7437,what is the probability for instance with id 34 if outdoor temperature is decreased by 21.82399577,filter id 34 and change outdoor_temperature decrease 21.82399577 and likelihood [e]
7438,what is the probability for instance with id 34 if indoor temperature is decreased by 15.25,filter id 34 and change indoor_temperature decrease 15.25 and likelihood [e]
7439,what's the number of data points that operation took into consideration?,previousfilter and countdata [e]
7440,people's who own more than 15.25 indoor temperature and model predicts show them personal data to me?,filter indoor_temperature greater than 15.25 and show and predict [e]
7441,people's who own more than 21.5 outdoor temperature and model predicts show them personal data to me?,filter outdoor_temperature greater than 21.5 and show and predict [e]
7442,people's who own more than 640.4 past electricity and model predicts show them personal data to me?,filter past_electricity greater than 640.4 and show and predict [e]
7443,people's who own more than 1929.025 past electricity and model predicts show them personal data to me?,filter past_electricity greater than 1929.025 and show and predict [e]
7444,people's who own more than 21.82399577 outdoor temperature and model predicts show them personal data to me?,filter outdoor_temperature greater than 21.82399577 and show and predict [e]
7445,people's who own more than 13.25 indoor temperature and model predicts show them personal data to me?,filter indoor_temperature greater than 13.25 and show and predict [e]
7446,flip the classification for sample 98?,filter id 98 and explain cfe [e]
7447,"in cases where past electricity more than 640.4, how do you determine if {class_names}",filter past_electricity greater than 640.4 and explain features [e]
7448,"in cases where everything but not outdoor temperature of 21.82399577, how do you determine if {class_names}",filter outdoor_temperature not equal to 21.82399577 and explain features [e]
7449,"in cases where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 13.25, how do you determine if {class_names}",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and explain features [e]
7450,"in cases where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 1929.025, how do you determine if {class_names}",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and explain features [e]
7451,"in cases where outdoor temperature is equal to but not greater than 21.82399577, how do you determine if {class_names}",filter outdoor_temperature less equal than 21.82399577 and explain features [e]
7452,"in cases where past electricity upper than 1929.025, how do you determine if {class_names}",filter past_electricity greater than 1929.025 and explain features [e]
7453,"in cases where past electricity the same or more than 640.4, how do you determine if {class_names}",filter past_electricity greater equal than 640.4 and explain features [e]
7454,"in cases where indoor temperature is not greater than 13.25, how do you determine if {class_names}",filter indoor_temperature less equal than 13.25 and explain features [e]
7455,"in cases where indoor temperature more than 13.25, how do you determine if {class_names}",filter indoor_temperature greater than 13.25 and explain features [e]
7456,"in cases where outdoor temperature is not less than 21.5, how do you determine if {class_names}",filter outdoor_temperature greater equal than 21.5 and explain features [e]
7457,"in cases where past electricity is equal to but not greater than 1929.025, how do you determine if {class_names}",filter past_electricity less equal than 1929.025 and explain features [e]
7458,"in cases where indoor temperature warmer than 13.25 and past electricity yocolderunger than 640.4, how do you determine if {class_names}",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and explain features [e]
7459,"in cases where past electricity of 1929.025, how do you determine if {class_names}",filter past_electricity equal to 1929.025 and explain features [e]
7460,"in cases where past electricity warmer than 1929.025, how do you determine if {class_names}",filter past_electricity greater than 1929.025 and explain features [e]
7461,"in cases where indoor temperature above 13.25, how do you determine if {class_names}",filter indoor_temperature greater than 13.25 and explain features [e]
7462,"in cases where indoor temperature equal to or below 15.25, how do you determine if {class_names}",filter indoor_temperature less equal than 15.25 and explain features [e]
7463,"in cases where indoor temperature equal to or below 13.25, how do you determine if {class_names}",filter indoor_temperature less equal than 13.25 and explain features [e]
7464,"in cases where indoor temperature less than 13.25, how do you determine if {class_names}",filter indoor_temperature less than 13.25 and explain features [e]
7465,"in cases where past electricity of 640.4, how do you determine if {class_names}",filter past_electricity equal to 640.4 and explain features [e]
7466,"in cases where indoor temperature colder than 13.25, how do you determine if {class_names}",filter indoor_temperature less than 13.25 and explain features [e]
7467,"in cases where outdoor temperature not equal to 21.82399577, how do you determine if {class_names}",filter outdoor_temperature not equal to 21.82399577 and explain features [e]
7468,"in cases where indoor temperature is equal to but not greater than 13.25, how do you determine if {class_names}",filter indoor_temperature less equal than 13.25 and explain features [e]
7469,"in cases where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577, how do you determine if {class_names}",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and explain features [e]
7470,"in cases where outdoor temperature equal to or below 21.5, how do you determine if {class_names}",filter outdoor_temperature less equal than 21.5 and explain features [e]
7471,"in cases where past electricity more than 1929.025, how do you determine if {class_names}",filter past_electricity greater than 1929.025 and explain features [e]
7472,"in cases where past electricity above 1929.025, how do you determine if {class_names}",filter past_electricity greater than 1929.025 and explain features [e]
7473,"in cases where past electricity exceeds 1929.025, how do you determine if {class_names}",filter past_electricity greater than 1929.025 and explain features [e]
7474,"in cases where past electricity less than 1929.025, how do you determine if {class_names}",filter past_electricity less than 1929.025 and explain features [e]
7475,"in cases where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.5, how do you determine if {class_names}",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and explain features [e]
7476,"in cases where past electricity is not greater than 1929.025, how do you determine if {class_names}",filter past_electricity less equal than 1929.025 and explain features [e]
7477,"in cases where everything but not outdoor temperature of 21.5, how do you determine if {class_names}",filter outdoor_temperature not equal to 21.5 and explain features [e]
7478,"in cases where indoor temperature upper than 15.25, how do you determine if {class_names}",filter indoor_temperature greater than 15.25 and explain features [e]
7479,"in cases where past electricity is equal to but not greater than 640.4, how do you determine if {class_names}",filter past_electricity less equal than 640.4 and explain features [e]
7480,"in cases where past electricity not equal to 640.4, how do you determine if {class_names}",filter past_electricity not equal to 640.4 and explain features [e]
7481,"in cases where outdoor temperature is not greater than 21.5, how do you determine if {class_names}",filter outdoor_temperature less equal than 21.5 and explain features [e]
7482,"in cases where id 78, how do you determine if {class_names}",filter id 78 and explain features [e]
7483,"in cases where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 1929.025, how do you determine if {class_names}",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and explain features [e]
7484,"in cases where past electricity warmer than 640.4, how do you determine if {class_names}",filter past_electricity greater than 640.4 and explain features [e]
7485,"in cases where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.5, how do you determine if {class_names}",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and explain features [e]
7486,"in cases where outdoor temperature colder than 21.82399577, how do you determine if {class_names}",filter outdoor_temperature less than 21.82399577 and explain features [e]
7487,"in cases where indoor temperature of 15.25, how do you determine if {class_names}",filter indoor_temperature equal to 15.25 and explain features [e]
7488,"in cases where indoor temperature not equal to 13.25, how do you determine if {class_names}",filter indoor_temperature not equal to 13.25 and explain features [e]
7489,"in cases where past electricity equal to or below 640.4, how do you determine if {class_names}",filter past_electricity less equal than 640.4 and explain features [e]
7490,"in cases where data points 89 and 90, how do you determine if {class_names}",filter id 89 and filter id 90 and explain features [e]
7491,"in cases where past electricity colder than 640.4, how do you determine if {class_names}",filter past_electricity less than 640.4 and explain features [e]
7492,"in cases where outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 15.25, how do you determine if {class_names}",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and explain features [e]
7493,"in cases where outdoor temperature is not greater than 21.82399577, how do you determine if {class_names}",filter outdoor_temperature less equal than 21.82399577 and explain features [e]
7494,"in cases where indoor temperature warmer than 15.25 and past electricity yocolderunger than 1929.025, how do you determine if {class_names}",filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and explain features [e]
7495,"in cases where past electricity less than 640.4, how do you determine if {class_names}",filter past_electricity less than 640.4 and explain features [e]
7496,"in cases where outdoor temperature not equal to 21.5, how do you determine if {class_names}",filter outdoor_temperature not equal to 21.5 and explain features [e]
7497,"in cases where past electricity warmer than 640.4 and indoor temperature yocolderunger than 13.25, how do you determine if {class_names}",filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and explain features [e]
7498,"in cases where past electricity is not less than 1929.025, how do you determine if {class_names}",filter past_electricity greater equal than 1929.025 and explain features [e]
7499,"in cases where outdoor temperature warmer than 21.5 and past electricity yocolderunger than 640.4, how do you determine if {class_names}",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and explain features [e]
7500,"in cases where outdoor temperature warmer than 21.82399577, how do you determine if {class_names}",filter outdoor_temperature greater than 21.82399577 and explain features [e]
7501,"in cases where everything but not past electricity of 640.4, how do you determine if {class_names}",filter past_electricity not equal to 640.4 and explain features [e]
