,natural_language,parsed_utterance
8460,"for instances past electricity the same or more than 1929.025, show statistics for the indoor temperature feature",filter past_electricity greater equal than 1929.025 and statistic indoor_temperature [e]
8461,"for instances past electricity is not less than 640.4, show statistics for the outdoor temperature feature",filter past_electricity greater equal than 640.4 and statistic outdoor_temperature [e]
8462,"for instances indoor temperature taller than 15.25, show statistics for the indoor temperature feature",filter indoor_temperature greater than 15.25 and statistic indoor_temperature [e]
8463,"for instances past electricity is not greater than 1929.025, show statistics for the outdoor temperature feature",filter past_electricity less equal than 1929.025 and statistic outdoor_temperature [e]
8464,"for instances outdoor temperature older than 21.82399577 and indoor temperature younger than 13.25, show statistics for the indoor temperature feature",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
8465,"for instances who are {class_names} but get predicted as {class_names}, show statistics for the past electricity feature",labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and statistic past_electricity [e]
8466,"for instances outdoor temperature is not greater than 21.5, show statistics for the past electricity feature",filter outdoor_temperature less equal than 21.5 and statistic past_electricity [e]
8467,"for instances indoor temperature equal to or below 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature less equal than 15.25 and statistic outdoor_temperature [e]
8468,"for instances past electricity the same or more than 640.4, show statistics for the outdoor temperature feature",filter past_electricity greater equal than 640.4 and statistic outdoor_temperature [e]
8469,"for instances indoor temperature upper than 13.25, show statistics for the past electricity feature",filter indoor_temperature greater than 13.25 and statistic past_electricity [e]
8470,"for instances indoor temperature the same or more than 15.25, show statistics for the indoor temperature feature",filter indoor_temperature greater equal than 15.25 and statistic indoor_temperature [e]
8471,"for instances indoor temperature is equal to but not greater than 15.25, show statistics for the indoor temperature feature",filter indoor_temperature less equal than 15.25 and statistic indoor_temperature [e]
8472,"for instances indoor temperature above 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 15.25 and statistic outdoor_temperature [e]
8473,"for instances past electricity taller than 640.4, show statistics for the outdoor temperature feature",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
8474,"for instances indoor temperature the same or more than 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature greater equal than 15.25 and statistic outdoor_temperature [e]
8475,"for instances past electricity not equal to 1929.025, show statistics for the outdoor temperature feature",filter past_electricity not equal to 1929.025 and statistic outdoor_temperature [e]
8476,"for instances outdoor temperature older than 21.5 and indoor temperature younger than 15.25, show statistics for the indoor temperature feature",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
8477,"for instances indoor temperature older than 13.25 and outdoor temperature younger than 21.5, show statistics for the past electricity feature",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
8478,"for instances indoor temperature is not less than 13.25, show statistics for the past electricity feature",filter indoor_temperature greater equal than 13.25 and statistic past_electricity [e]
8479,"for instances indoor temperature older than 13.25 and past electricity younger than 640.4, show statistics for the past electricity feature",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and statistic past_electricity [e]
8480,"for instances outdoor temperature is equal to but not greater than 21.82399577, show statistics for the past electricity feature",filter outdoor_temperature less equal than 21.82399577 and statistic past_electricity [e]
8481,"for instances outdoor temperature younger than 21.82399577, show statistics for the outdoor temperature feature",filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
8482,"for instances outdoor temperature older than 21.82399577 and indoor temperature younger than 15.25, show statistics for the indoor temperature feature",filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
8483,"for instances past electricity older than 1929.025 and outdoor temperature younger than 21.5, show statistics for the outdoor temperature feature",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
8484,"for instances indoor temperature exceeds 13.25, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 13.25 and statistic outdoor_temperature [e]
8485,"for instances past electricity is not greater than 1929.025, show statistics for the indoor temperature feature",filter past_electricity less equal than 1929.025 and statistic indoor_temperature [e]
8486,"for instances outdoor temperature older than 21.5 and indoor temperature younger than 13.25, show statistics for the outdoor temperature feature",filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and statistic outdoor_temperature [e]
8487,"for instances past electricity is not less than 1929.025, show statistics for the outdoor temperature feature",filter past_electricity greater equal than 1929.025 and statistic outdoor_temperature [e]
8488,"for instances outdoor temperature is equal to but not greater than 21.82399577, show statistics for the indoor temperature feature",filter outdoor_temperature less equal than 21.82399577 and statistic indoor_temperature [e]
8489,"for instances outdoor temperature is not greater than 21.5, show statistics for the outdoor temperature feature",filter outdoor_temperature less equal than 21.5 and statistic outdoor_temperature [e]
8490,"for instances outdoor temperature older than 21.82399577 and past electricity younger than 1929.025, show statistics for the outdoor temperature feature",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
8491,"for instances past electricity older than 640.4, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
8492,"for instances past electricity equal to or below 1929.025, show statistics for the past electricity feature",filter past_electricity less equal than 1929.025 and statistic past_electricity [e]
8493,"for instances past electricity not equal to 640.4, show statistics for the indoor temperature feature",filter past_electricity not equal to 640.4 and statistic indoor_temperature [e]
8494,"for instances indoor temperature of 15.25, show statistics for the indoor temperature feature",filter indoor_temperature equal to 15.25 and statistic indoor_temperature [e]
8495,"for instances past electricity younger than 1929.025, show statistics for the indoor temperature feature",filter past_electricity less than 1929.025 and statistic indoor_temperature [e]
8496,"for instances indoor temperature equal to or below 15.25, show statistics for the past electricity feature",filter indoor_temperature less equal than 15.25 and statistic past_electricity [e]
8497,"for instances outdoor temperature exceeds 21.5, show statistics for the past electricity feature",filter outdoor_temperature greater than 21.5 and statistic past_electricity [e]
8498,"for instances past electricity exceeds 640.4, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
8499,"for instances past electricity above 1929.025, show statistics for the past electricity feature",filter past_electricity greater than 1929.025 and statistic past_electricity [e]
8500,"for instances indoor temperature taller than 15.25, show statistics for the past electricity feature",filter indoor_temperature greater than 15.25 and statistic past_electricity [e]
8501,"for instances outdoor temperature of 21.82399577, show statistics for the indoor temperature feature",filter outdoor_temperature equal to 21.82399577 and statistic indoor_temperature [e]
8502,"for instances indoor temperature younger than 15.25, show statistics for the indoor temperature feature",filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
8503,"for instances past electricity older than 640.4 and indoor temperature younger than 15.25, show statistics for the outdoor temperature feature",filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and statistic outdoor_temperature [e]
8504,"for instances indoor temperature older than 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 15.25 and statistic outdoor_temperature [e]
8505,"for instances outdoor temperature less than 21.5, show statistics for the indoor temperature feature",filter outdoor_temperature less than 21.5 and statistic indoor_temperature [e]
8506,"for instances past electricity older than 1929.025 and outdoor temperature younger than 21.5, show statistics for the past electricity feature",filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
8507,"for instances outdoor temperature upper than 21.5, show statistics for the indoor temperature feature",filter outdoor_temperature greater than 21.5 and statistic indoor_temperature [e]
8508,"for instances outdoor temperature of 21.5, show statistics for the past electricity feature",filter outdoor_temperature equal to 21.5 and statistic past_electricity [e]
8509,"for instances past electricity less than 640.4, show statistics for the past electricity feature",filter past_electricity less than 640.4 and statistic past_electricity [e]
8510,"for instances outdoor temperature upper than 21.82399577, show statistics for the outdoor temperature feature",filter outdoor_temperature greater than 21.82399577 and statistic outdoor_temperature [e]
8511,"for instances outdoor temperature is not greater than 21.82399577, show statistics for the outdoor temperature feature",filter outdoor_temperature less equal than 21.82399577 and statistic outdoor_temperature [e]
8512,"for instances the model's prediction is {class_names}, show statistics for the outdoor temperature feature",predictionfilter {non_semantic_class_names} and statistic outdoor_temperature [e]
8513,"for instances outdoor temperature upper than 21.5, show statistics for the past electricity feature",filter outdoor_temperature greater than 21.5 and statistic past_electricity [e]
8514,"for instances indoor temperature more than 13.25, show statistics for the indoor temperature feature",filter indoor_temperature greater than 13.25 and statistic indoor_temperature [e]
8515,"for instances everything but not indoor temperature of 13.25, show statistics for the outdoor temperature feature",filter indoor_temperature not equal to 13.25 and statistic outdoor_temperature [e]
8516,"for instances outdoor temperature not equal to 21.5, show statistics for the outdoor temperature feature",filter outdoor_temperature not equal to 21.5 and statistic outdoor_temperature [e]
8517,"for instances indoor temperature equal to or below 13.25, show statistics for the indoor temperature feature",filter indoor_temperature less equal than 13.25 and statistic indoor_temperature [e]
8518,"for instances indoor temperature is equal to but not greater than 13.25, show statistics for the indoor temperature feature",filter indoor_temperature less equal than 13.25 and statistic indoor_temperature [e]
8519,"for instances who are {class_names} but get predicted as {class_names}, show statistics for the indoor temperature feature",labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and statistic indoor_temperature [e]
8520,"for instances outdoor temperature more than 21.5, show statistics for the outdoor temperature feature",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
8521,"for instances the model predicts {class_names} and the label is {class_names}, show statistics for the past electricity feature",predictionfilter {non_semantic_class_names} and labelfilter {class_names} and statistic past_electricity [e]
8522,"for instances indoor temperature taller than 13.25, show statistics for the indoor temperature feature",filter indoor_temperature greater than 13.25 and statistic indoor_temperature [e]
8523,"for instances indoor temperature the same or more than 13.25, show statistics for the past electricity feature",filter indoor_temperature greater equal than 13.25 and statistic past_electricity [e]
8524,"for instances past electricity less than 1929.025, show statistics for the outdoor temperature feature",filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
8525,"for instances indoor temperature younger than 15.25, show statistics for the past electricity feature",filter indoor_temperature less than 15.25 and statistic past_electricity [e]
8526,"for instances outdoor temperature is not less than 21.82399577, show statistics for the indoor temperature feature",filter outdoor_temperature greater equal than 21.82399577 and statistic indoor_temperature [e]
8527,"for instances everything but not outdoor temperature of 21.5, show statistics for the indoor temperature feature",filter outdoor_temperature not equal to 21.5 and statistic indoor_temperature [e]
8528,"for instances outdoor temperature is not greater than 21.5, show statistics for the indoor temperature feature",filter outdoor_temperature less equal than 21.5 and statistic indoor_temperature [e]
8529,"for instances indoor temperature of 15.25, show statistics for the past electricity feature",filter indoor_temperature equal to 15.25 and statistic past_electricity [e]
8530,"for instances the model predicts {class_names} but the label is {class_names}, show statistics for the indoor temperature feature",predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and statistic indoor_temperature [e]
8531,"for instances indoor temperature older than 13.25 and past electricity younger than 1929.025, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and statistic outdoor_temperature [e]
8532,"for instances indoor temperature more than 13.25, show statistics for the past electricity feature",filter indoor_temperature greater than 13.25 and statistic past_electricity [e]
8533,"for instances indoor temperature is not less than 15.25, show statistics for the past electricity feature",filter indoor_temperature greater equal than 15.25 and statistic past_electricity [e]
8534,"for instances indoor temperature is equal to but not greater than 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature less equal than 15.25 and statistic outdoor_temperature [e]
8535,"for instances everything but not past electricity of 1929.025, show statistics for the outdoor temperature feature",filter past_electricity not equal to 1929.025 and statistic outdoor_temperature [e]
8536,"for instances everything but not past electricity of 1929.025, show statistics for the past electricity feature",filter past_electricity not equal to 1929.025 and statistic past_electricity [e]
8537,"for instances outdoor temperature is equal to but not greater than 21.5, show statistics for the past electricity feature",filter outdoor_temperature less equal than 21.5 and statistic past_electricity [e]
8538,"for instances id 78, show statistics for the outdoor temperature feature",filter id 78 and statistic outdoor_temperature [e]
8539,"for instances past electricity the same or more than 640.4, show statistics for the past electricity feature",filter past_electricity greater equal than 640.4 and statistic past_electricity [e]
8540,"for instances where they are actually {class_names} but the model predicts {class_names}, show statistics for the indoor temperature feature",labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and statistic indoor_temperature [e]
8541,"for instances outdoor temperature older than 21.5 and past electricity younger than 640.4, show statistics for the indoor temperature feature",filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and statistic indoor_temperature [e]
8542,"for instances the model predicts {class_names} but the label is {class_names}, show statistics for the past electricity feature",predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and statistic past_electricity [e]
8543,"for instances indoor temperature older than 13.25 and outdoor temperature younger than 21.82399577, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
8544,"for instances the model predicts {class_names} but actually are {class_names}, show statistics for the past electricity feature",predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and statistic past_electricity [e]
8545,"for instances indoor temperature older than 15.25 and outdoor temperature younger than 21.82399577, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
8546,"for instances indoor temperature older than 13.25 and past electricity younger than 1929.025, show statistics for the past electricity feature",filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and statistic past_electricity [e]
8547,"for instances past electricity above 1929.025, show statistics for the indoor temperature feature",filter past_electricity greater than 1929.025 and statistic indoor_temperature [e]
8548,"for instances outdoor temperature of 21.82399577, show statistics for the outdoor temperature feature",filter outdoor_temperature equal to 21.82399577 and statistic outdoor_temperature [e]
8549,"for instances indoor temperature of 13.25, show statistics for the past electricity feature",filter indoor_temperature equal to 13.25 and statistic past_electricity [e]
8550,"for instances indoor temperature upper than 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 15.25 and statistic outdoor_temperature [e]
8551,"for instances indoor temperature of 13.25, show statistics for the indoor temperature feature",filter indoor_temperature equal to 13.25 and statistic indoor_temperature [e]
8552,"for instances past electricity older than 640.4 and indoor temperature younger than 13.25, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
8553,"for instances past electricity older than 640.4 and outdoor temperature younger than 21.82399577, show statistics for the past electricity feature",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and statistic past_electricity [e]
8554,"for instances indoor temperature is not greater than 13.25, show statistics for the outdoor temperature feature",filter indoor_temperature less equal than 13.25 and statistic outdoor_temperature [e]
8555,"for instances indoor temperature exceeds 15.25, show statistics for the past electricity feature",filter indoor_temperature greater than 15.25 and statistic past_electricity [e]
8556,"for instances past electricity older than 640.4 and outdoor temperature younger than 21.5, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and statistic indoor_temperature [e]
8557,"for instances past electricity upper than 640.4, show statistics for the past electricity feature",filter past_electricity greater than 640.4 and statistic past_electricity [e]
8558,"for instances past electricity older than 1929.025 and indoor temperature younger than 13.25, show statistics for the past electricity feature",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and statistic past_electricity [e]
8559,"for instances outdoor temperature the same or more than 21.82399577, show statistics for the past electricity feature",filter outdoor_temperature greater equal than 21.82399577 and statistic past_electricity [e]
8560,"for instances the model predicts {class_names} but whose ground truth label is {class_names}, show statistics for the indoor temperature feature",predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and statistic indoor_temperature [e]
8561,"for instances past electricity is not greater than 640.4, show statistics for the outdoor temperature feature",filter past_electricity less equal than 640.4 and statistic outdoor_temperature [e]
8562,"for instances indoor temperature exceeds 15.25, show statistics for the indoor temperature feature",filter indoor_temperature greater than 15.25 and statistic indoor_temperature [e]
8563,"for instances past electricity older than 640.4, show statistics for the outdoor temperature feature",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
8564,"for instances indoor temperature older than 15.25 and past electricity younger than 640.4, show statistics for the past electricity feature",filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and statistic past_electricity [e]
8565,"for instances past electricity taller than 640.4, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
8566,"for instances indoor temperature less than 15.25, show statistics for the outdoor temperature feature",filter indoor_temperature less than 15.25 and statistic outdoor_temperature [e]
8567,"for instances the model predicts {class_names} but actually are {class_names}, show statistics for the indoor temperature feature",predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and statistic indoor_temperature [e]
8568,"for instances past electricity more than 640.4, show statistics for the outdoor temperature feature",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
8569,"for instances past electricity older than 1929.025, show statistics for the outdoor temperature feature",filter past_electricity greater than 1929.025 and statistic outdoor_temperature [e]
8570,"for instances indoor temperature older than 13.25 and outdoor temperature younger than 21.5, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and statistic outdoor_temperature [e]
8571,"for instances past electricity older than 640.4 and indoor temperature younger than 15.25, show statistics for the indoor temperature feature",filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and statistic indoor_temperature [e]
8572,"for instances indoor temperature older than 13.25 and past electricity younger than 640.4, show statistics for the outdoor temperature feature",filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and statistic outdoor_temperature [e]
8573,"for instances past electricity less than 1929.025, show statistics for the indoor temperature feature",filter past_electricity less than 1929.025 and statistic indoor_temperature [e]
8574,"for instances data points 89 and 90, show statistics for the indoor temperature feature",filter id 89 and filter id 90 and statistic indoor_temperature [e]
8575,"for instances everything but not outdoor temperature of 21.82399577, show statistics for the past electricity feature",filter outdoor_temperature not equal to 21.82399577 and statistic past_electricity [e]
8576,"for instances the model predicts {class_names} and the label is {class_names}, show statistics for the indoor temperature feature",predictionfilter {non_semantic_class_names} and labelfilter {class_names} and statistic indoor_temperature [e]
8577,"for instances past electricity older than 640.4 and outdoor temperature younger than 21.82399577, show statistics for the outdoor temperature feature",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
8578,how about the prediction probabilities,previousfilter and likelihood [e]
8579,what are the predictions and explanations?,previousfilter and predict and explain feature importance[e]
8580,how likely is it that the model predicts this instance as {class_names},previousfilter and likelihood [e]
8581,how did you decide what to predict for id 78 and what could someone do to change this prediction?,filter id 78 and explain features and explain cfe [e]
8582,total number of training items in the data,countdata [e]
8583,could you describe the data a bit more?,data [e]
8584,probability data point 22 is predicted by the model {class_names},filter id 22 and likelihood [e]
8585,what can you do?,function [e]
8586,what are the 3 most important features in the data when reasoning about past electricity is equal to but not greater than 1929.025 to make decisions?,filter past_electricity less equal than 1929.025 and important topk 3 [e]
8587,what are the 3 most important features in the data when reasoning about indoor temperature equal to or below 15.25 to make decisions?,filter indoor_temperature less equal than 15.25 and important topk 3 [e]
8588,what are the 3 most important features in the data when reasoning about the model predicts {class_names} to make decisions?,predictionfilter {non_semantic_class_names} and important topk 3 [e]
8589,what are the 3 most important features in the data when reasoning about {class_names} is what the individuals outcome under the model is to make decisions?,predictionfilter {non_semantic_class_names} and important topk 3 [e]
8590,what are the 3 most important features in the data when reasoning about outdoor temperature is not greater than 21.5 to make decisions?,filter outdoor_temperature less equal than 21.5 and important topk 3 [e]
8591,what are the 3 most important features in the data when reasoning about everything but not indoor temperature of 15.25 to make decisions?,filter indoor_temperature not equal to 15.25 and important topk 3 [e]
8592,what are the 3 most important features in the data when reasoning about indoor temperature older than 15.25 and outdoor temperature younger than 21.82399577 to make decisions?,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and important topk 3 [e]
8593,what are the 3 most important features in the data when reasoning about past electricity upper than 1929.025 to make decisions?,filter past_electricity greater than 1929.025 and important topk 3 [e]
8594,what are the 3 most important features in the data when reasoning about outdoor temperature more than 21.5 to make decisions?,filter outdoor_temperature greater than 21.5 and important topk 3 [e]
8595,what are the 3 most important features in the data when reasoning about who are {class_names} but get predicted as {class_names} to make decisions?,labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and important topk 3 [e]
8596,what are the 3 most important features in the data when reasoning about outdoor temperature is not less than 21.82399577 to make decisions?,filter outdoor_temperature greater equal than 21.82399577 and important topk 3 [e]
8597,what are the 3 most important features in the data when reasoning about indoor temperature the same or more than 13.25 to make decisions?,filter indoor_temperature greater equal than 13.25 and important topk 3 [e]
8598,what are the 3 most important features in the data when reasoning about outdoor temperature exceeds 21.5 to make decisions?,filter outdoor_temperature greater than 21.5 and important topk 3 [e]
8599,what are the 3 most important features in the data when reasoning about outdoor temperature is equal to but not greater than 21.82399577 to make decisions?,filter outdoor_temperature less equal than 21.82399577 and important topk 3 [e]
8600,what are the 3 most important features in the data when reasoning about indoor temperature is not greater than 15.25 to make decisions?,filter indoor_temperature less equal than 15.25 and important topk 3 [e]
8601,what are the 3 most important features in the data when reasoning about indoor temperature is not greater than 13.25 to make decisions?,filter indoor_temperature less equal than 13.25 and important topk 3 [e]
8602,what are the 3 most important features in the data when reasoning about outdoor temperature less than 21.82399577 to make decisions?,filter outdoor_temperature less than 21.82399577 and important topk 3 [e]
8603,what are the 3 most important features in the data when reasoning about outdoor temperature exceeds 21.82399577 to make decisions?,filter outdoor_temperature greater than 21.82399577 and important topk 3 [e]
8604,what are the 3 most important features in the data when reasoning about data points 89 and 90 to make decisions?,filter id 89 and filter id 90 and important topk 3 [e]
8605,what are the 3 most important features in the data when reasoning about outdoor temperature not equal to 21.5 to make decisions?,filter outdoor_temperature not equal to 21.5 and important topk 3 [e]
8606,what are the 3 most important features in the data when reasoning about outdoor temperature is not greater than 21.82399577 to make decisions?,filter outdoor_temperature less equal than 21.82399577 and important topk 3 [e]
8607,what are the 3 most important features in the data when reasoning about where they are actually {class_names} but the model predicts {class_names} to make decisions?,labelfilter {non_semantic_class_names} and predictionfilter {non_semantic_class_names} and important topk 3 [e]
8608,what are the 3 most important features in the data when reasoning about indoor temperature above 13.25 to make decisions?,filter indoor_temperature greater than 13.25 and important topk 3 [e]
8609,what are the 3 most important features in the data when reasoning about the model predicts {class_names} but actually are {class_names} to make decisions?,predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and important topk 3 [e]
8610,what are the 3 most important features in the data when reasoning about indoor temperature equal to or below 13.25 to make decisions?,filter indoor_temperature less equal than 13.25 and important topk 3 [e]
8611,what are the 3 most important features in the data when reasoning about indoor temperature not equal to 13.25 to make decisions?,filter indoor_temperature not equal to 13.25 and important topk 3 [e]
8612,what are the 3 most important features in the data when reasoning about outdoor temperature taller than 21.82399577 to make decisions?,filter outdoor_temperature greater than 21.82399577 and important topk 3 [e]
8613,what are the 3 most important features in the data when reasoning about past electricity older than 1929.025 and indoor temperature younger than 15.25 to make decisions?,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and important topk 3 [e]
8614,what are the 3 most important features in the data when reasoning about past electricity older than 640.4 and outdoor temperature younger than 21.82399577 to make decisions?,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and important topk 3 [e]
8615,what are the 3 most important features in the data when reasoning about indoor temperature older than 13.25 and past electricity younger than 1929.025 to make decisions?,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and important topk 3 [e]
8616,what are the 3 most important features in the data when reasoning about outdoor temperature upper than 21.82399577 to make decisions?,filter outdoor_temperature greater than 21.82399577 and important topk 3 [e]
8617,what are the 3 most important features in the data when reasoning about everything but not indoor temperature of 13.25 to make decisions?,filter indoor_temperature not equal to 13.25 and important topk 3 [e]
8618,what are the 3 most important features in the data when reasoning about past electricity is not less than 1929.025 to make decisions?,filter past_electricity greater equal than 1929.025 and important topk 3 [e]
8619,what are the 3 most important features in the data when reasoning about past electricity more than 640.4 to make decisions?,filter past_electricity greater than 640.4 and important topk 3 [e]
8620,what are the 3 most important features in the data when reasoning about outdoor temperature older than 21.82399577 and indoor temperature younger than 13.25 to make decisions?,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and important topk 3 [e]
8621,what are the 3 most important features in the data when reasoning about past electricity older than 1929.025 and outdoor temperature younger than 21.82399577 to make decisions?,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and important topk 3 [e]
8622,what are the 3 most important features in the data when reasoning about past electricity equal to or below 640.4 to make decisions?,filter past_electricity less equal than 640.4 and important topk 3 [e]
8623,what are the 3 most important features in the data when reasoning about past electricity of 1929.025 to make decisions?,filter past_electricity equal to 1929.025 and important topk 3 [e]
8624,what are the 3 most important features in the data when reasoning about outdoor temperature older than 21.82399577 and past electricity younger than 1929.025 to make decisions?,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and important topk 3 [e]
8625,what are the 3 most important features in the data when reasoning about outdoor temperature older than 21.5 and past electricity younger than 640.4 to make decisions?,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and important topk 3 [e]
8626,what are the 3 most important features in the data when reasoning about past electricity exceeds 1929.025 to make decisions?,filter past_electricity greater than 1929.025 and important topk 3 [e]
8627,what are the 3 most important features in the data when reasoning about outdoor temperature younger than 21.5 to make decisions?,filter outdoor_temperature less than 21.5 and important topk 3 [e]
8628,what are the 3 most important features in the data when reasoning about past electricity upper than 640.4 to make decisions?,filter past_electricity greater than 640.4 and important topk 3 [e]
8629,what are the 3 most important features in the data when reasoning about indoor temperature above 15.25 to make decisions?,filter indoor_temperature greater than 15.25 and important topk 3 [e]
8630,what are the 3 most important features in the data when reasoning about outdoor temperature older than 21.5 to make decisions?,filter outdoor_temperature greater than 21.5 and important topk 3 [e]
8631,what are the 3 most important features in the data when reasoning about outdoor temperature the same or more than 21.82399577 to make decisions?,filter outdoor_temperature greater equal than 21.82399577 and important topk 3 [e]
8632,what are the 3 most important features in the data when reasoning about past electricity older than 1929.025 and indoor temperature younger than 13.25 to make decisions?,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and important topk 3 [e]
8633,what are the 3 most important features in the data when reasoning about past electricity of 640.4 to make decisions?,filter past_electricity equal to 640.4 and important topk 3 [e]
8634,what are the 3 most important features in the data when reasoning about the model predicts {class_names} and the label is {class_names} to make decisions?,predictionfilter {non_semantic_class_names} and labelfilter {class_names} and important topk 3 [e]
8635,what are the 3 most important features in the data when reasoning about indoor temperature the same or more than 15.25 to make decisions?,filter indoor_temperature greater equal than 15.25 and important topk 3 [e]
8636,what are the 3 most important features in the data when reasoning about indoor temperature older than 15.25 and past electricity younger than 1929.025 to make decisions?,filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and important topk 3 [e]
8637,what are the 3 most important features in the data when reasoning about everything but not past electricity of 1929.025 to make decisions?,filter past_electricity not equal to 1929.025 and important topk 3 [e]
8638,what are the 3 most important features in the data when reasoning about outdoor temperature of 21.82399577 to make decisions?,filter outdoor_temperature equal to 21.82399577 and important topk 3 [e]
8639,what are the 3 most important features in the data when reasoning about indoor temperature of 15.25 to make decisions?,filter indoor_temperature equal to 15.25 and important topk 3 [e]
8640,what are the 3 most important features in the data when reasoning about outdoor temperature not equal to 21.82399577 to make decisions?,filter outdoor_temperature not equal to 21.82399577 and important topk 3 [e]
8641,what are the 3 most important features in the data when reasoning about past electricity older than 1929.025 and outdoor temperature younger than 21.5 to make decisions?,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and important topk 3 [e]
8642,what are the 3 most important features in the data when reasoning about the model predicts {class_names} but whose ground truth label is {class_names} to make decisions?,predictionfilter {non_semantic_class_names} and labelfilter {non_semantic_class_names} and important topk 3 [e]
8643,what are the 3 most important features in the data when reasoning about outdoor temperature is equal to but not greater than 21.5 to make decisions?,filter outdoor_temperature less equal than 21.5 and important topk 3 [e]
8644,what are the 3 most important features in the data when reasoning about outdoor temperature above 21.5 to make decisions?,filter outdoor_temperature greater than 21.5 and important topk 3 [e]
